OTUs,DISEASE_1,DISEASE_2,DISEASE_3,DISEASE_4,HEALTHY_1,HEALTHY_2,HEALTHY_3,HEALTHY_4,BLANK_1,BLANK_2,BLANK_3,BLANK_4
OTU2922,0,0,0,85,0,0,0,0,0,0,0,0
OTU2924,181,0,0,0,0,0,0,0,0,0,0,0
OTU2929,0,0,0,173,0,0,0,0,0,0,0,0
OTU2941,0,44,0,0,0,0,13,0,0,0,0,0
OTU2955,0,0,0,0,0,0,0,0,0,0,0,40
OTU2956,0,0,0,0,0,0,0,0,0,46,0,0
OTU2959,181,0,0,0,0,0,0,0,0,0,0,0
OTU296,0,0,0,0,0,0,0,0,0,0,0,200
OTU2960,0,0,0,0,0,0,140,0,0,0,0,0
OTU2967,277,0,0,0,0,0,0,0,0,0,0,0
OTU2968,0,172,0,0,0,0,0,0,0,0,0,0
OTU2973,0,0,0,51,0,0,0,0,0,0,0,0
OTU2975,0,0,0,0,0,0,0,0,0,0,0,348
OTU2978,0,0,0,0,0,46,0,0,0,0,0,0
OTU298,29,0,0,0,0,0,0,0,0,0,0,0
OTU2983,0,0,0,86,0,0,0,0,0,0,0,0
OTU2985,0,0,0,0,0,71,0,0,0,0,0,0
OTU3005,0,0,0,0,0,0,0,0,52,0,0,0
OTU3008,0,0,0,0,102,0,0,0,0,0,0,0
OTU3009,0,0,0,0,0,139,0,0,0,0,0,0
OTU304,0,0,0,0,0,0,25,0,0,0,0,0
OTU3044,0,25,0,0,0,0,0,0,0,0,0,0
OTU3055,0,24,0,0,0,0,0,0,0,0,0,0
OTU3069,5,0,0,0,0,0,0,0,0,0,0,55
OTU307,0,0,0,18,0,10,0,0,0,0,0,0
OTU3078,8,0,0,9,0,0,0,0,0,0,0,9
OTU308,0,0,0,0,37,64,0,67,0,101,0,0
OTU3082,36,0,0,0,0,0,0,0,0,0,0,0
OTU310,10,79,0,111,344,150,238,139,161,202,115,143
OTU311,0,55,0,0,0,0,0,0,0,54,0,0
OTU3112,0,0,0,0,0,57,0,0,0,0,0,0
OTU3117,0,0,0,0,0,27,0,0,0,0,0,0
OTU315,0,0,0,0,228,230,91,0,0,0,281,43
OTU3160,0,0,0,9,0,28,0,0,0,0,0,0
OTU3176,25,0,0,0,0,0,0,0,0,0,0,0
OTU3188,0,27,0,0,0,0,0,0,0,0,0,0
OTU319,139,0,0,0,0,30,0,0,0,0,0,0
OTU3225,16,10,0,0,0,0,0,0,0,0,0,0
OTU324,60,0,0,48,0,0,0,0,0,0,0,0
OTU3249,0,0,0,0,0,0,0,39,0,0,0,0
OTU327,26,0,0,0,0,0,0,0,0,0,0,0
OTU330,83,0,0,0,0,0,0,0,0,0,0,0
OTU3301,0,0,0,0,0,0,0,0,0,40,0,0
OTU331,34,0,0,0,0,0,0,0,0,0,0,0
OTU3313,0,0,0,0,0,37,0,0,0,0,0,0
OTU3316,10,8,9,78,4,184,76,181,82,18,0,144
OTU3323,0,0,0,0,0,39,0,0,0,0,0,0
OTU336,0,0,0,0,0,0,0,0,0,0,0,123
OTU343,0,0,0,0,0,52,0,0,0,0,0,0
OTU345,0,0,0,0,22,19,98,0,129,0,21,0
OTU3456,0,0,0,31,0,0,0,0,0,0,0,0
OTU3478,12,0,0,2,0,0,21,0,0,0,0,22
OTU3500,0,0,0,0,0,0,0,10,0,9,0,5
OTU3516,0,0,0,0,0,28,0,0,0,0,0,0
OTU3522,0,0,0,0,0,0,52,0,0,0,0,0
OTU3524,0,0,0,0,0,0,41,0,0,0,0,0
OTU3525,0,30,0,0,0,0,0,0,0,0,0,0
OTU3528,0,0,0,0,0,25,0,0,0,0,0,0
OTU355,135,0,0,0,0,0,0,0,0,0,0,0
OTU356,0,0,0,0,0,57,0,0,0,0,0,0
OTU3579,0,0,0,24,0,0,0,0,0,0,0,0
OTU3584,26,0,0,10,0,0,0,0,0,0,0,0
OTU359,108,58,0,50,0,0,0,0,0,0,0,0
OTU360,0,0,0,0,17,0,0,0,0,0,0,43
OTU3628,0,0,0,0,0,39,0,0,0,0,0,0
OTU364,91,69,0,31,0,0,0,0,0,0,0,0
OTU3642,75,0,0,0,9,0,14,0,0,0,0,0
OTU3675,0,36,0,63,0,191,0,0,0,0,0,0
